title,author,publisher,isbn,year,pages
"New Approaches in Intelligent Control - Techniques, Methodologies and Applications",,Springer,978-3-319-32166-0,2016,
Computational Proximity - Excursions in the Topology of Digital Images,James F. Peters,Springer,978-3-319-30260-7::978-3-319-30262-1,2016,353
Between Certainty and Uncertainty - Statistics and Probability in Five Units with Notes on Historical Origins and Illustrative Numerical Examples,Ludomir Laudanski,Springer,978-3-642-25696-7,2013,303
Support Vector Machines and Evolutionary Algorithms for Classification - Single or Together?,Catalin Stoean::Ruxandra Stoean,Springer,978-3-319-06940-1::978-3-319-06941-8,2014,112
Innovations in Big Data Mining and Embedded Knowledge,,Springer,978-3-030-15938-2::978-3-030-15939-9,2019,
Knowledge Seeker - Ontology Modelling for Information Search and Management - A Compendium,Edward H. Y. Lim::James N. K. Liu::Raymond S. T. Lee,Springer,978-3-642-17915-0,2011,192
Collaborative Assistive Robot for Mobility Enhancement (CARMEN) - The bare necessities: assisted wheelchair navigation and beyond,Cristina Urdiales,Springer,978-3-642-24901-3,2012,196
Multiagent Systems and Applications - Volume 1: Practice and Experience,,Springer,978-3-642-33322-4,2013,
Machine Learning Paradigms - Artificial Immune Systems and their Applications in Software Personalization,Dionisios N. Sotiropoulos::George A. Tsihrintzis,Springer,978-3-319-47192-1::978-3-319-47194-5,2017,325
"Terminological Ontologies - Design, Management and Practical Applications",Javier Lacasta::Javier Nogueras-Iso::Francisco Javier Zarazaga-Soria,Springer,978-1-4419-6980-4,2010,176
Simulating Societal Change - Counterfactual Modelling for Social and Policy Inquiry,Peter Davis::Roy Lay-Yee,Springer,978-3-030-04785-6,2019,165
Emergence of Communication in Socio-Biological Networks,Anamaria Berea,Springer,978-3-319-64564-3,2018,78
"Computational Methods to Examine Team Communication - When and How to Change the Conversation, 2",Sara A. McComb::Deanna Kennedy,Springer,978-3-030-36158-7,2020,175
"Networks of Echoes - Imitation, Innovation and Invisible Leaders",Bruce J. West::Malgorzata Turalska::Paolo Grigolini,Springer,978-3-319-04878-9::978-3-319-04879-6,2014,215
"OpenStreetMap in GIScience - Experiences, Research, and Applications",,Springer,978-3-319-14279-1,2015,
Location Based Services and TeleCartography,,Springer,978-3-540-36727-7,2007,
Principle and Application Progress in Location-Based Services,,Springer,978-3-319-04027-1,2014,
Progress in Location-Based Services,,Springer,978-3-642-34202-8,2013,
"Map-based Mobile Services - Design, Interaction and Usability",,Springer,978-3-540-37109-0,2008,
"Musical Performance - A Comprehensive Approach: Theory, Analytical Tools, and Case Studies",Guerino Mazzola,Springer,978-3-642-11837-1::978-3-642-11838-8,2011,288
"The Topos of Music II: Performance - Theory, Software, and Case Studies, Second Edition",Guerino Mazzola,Springer,978-3-319-64443-1,2017,294
Making Musical Time,Guerino Mazzola::Alex Lubet::Yan Pang::Jordon Goebel::Christopher Rochester::Sangeeta Dey,Springer,978-3-030-85628-1,2021,246
Persistent Homology and Discrete Fourier Transform - An Application to Topological Musical Data Analysis,Victoria Callet-Feltz,Springer,978-3-031-82235-3,2025,214
Basic Music Technology - An Introduction,Guerino Mazzola::Yan Pang::William Heinze::Kyriaki Gkoudina::Gian Afrisando Pujakusuma::Jacob Grunklee::Zilu Chen::Tianxue Hu::Yiqing Ma,Springer,978-3-030-00981-6,2018,184
"The Topos of Music IV: Roots - Appendices, Second Edition",Guerino Mazzola,Springer,978-3-319-64494-3,2017,210
Computational Musicology in Hindustani Music,Soubhik Chakraborty::Guerino Mazzola::Swarima Tewari::Moujhuri Patra,Springer,978-3-319-11471-2::978-3-319-11472-9,2014,107
Functorial Semiotics for Creativity in Music and Mathematics,Guerino Mazzola::Sangeeta Dey::Zilu Chen::Yan Pang,Springer,978-3-030-85189-7,2022,153
"Flow, Gesture, and Spaces in Free Jazz - Towards a Theory of Collaboration",Guerino Mazzola::Paul B. Cherlin,Springer,978-3-540-92194-3::978-3-540-92195-0,2009,141
"Computational Counterpoint Worlds - Mathematical Theory, Software, and Experiments",Octavio Alberto Agustín-Aquino::Julien Junod::Guerino Mazzola,Springer,978-3-319-11235-0::978-3-319-11236-7,2015,178
Ubiquitous Music,,Springer,978-3-319-11151-3,2014,
Music Through Fourier Space - Discrete Fourier Transform in Music Theory,Emmanuel Amiot,Springer,978-3-319-45580-8::978-3-319-45581-5,2016,197
Musical Variation - Toward a Transformational Perspective,Carlos de Lemos Almada,Springer,978-3-031-31450-6,2023,282
"The Topos of Music III: Gestures - Musical Multiverse Ontologies, Second Edition",Guerino Mazzola::René Guitart::Jocelyn Ho::Alex Lubet::Maria Mannone::Matt Rahaim::Florian Thalmann,Springer,978-3-319-64479-0,2017,489
The Languages of Western Tonality,Eytan Agmon,Springer,978-3-642-39586-4::978-3-642-39587-1,2013,264
Cool Math for Hot Music - A First Introduction to Mathematics for Music Theorists,Guerino Mazzola::Maria Mannone::Yan Pang,Springer,978-3-319-42935-9::978-3-319-42937-3,2016,295
"All About Music - The Complete Ontology: Realities, Semiotics, Communication, and Embodiment",Guerino Mazzola::Maria Mannone::Yan Pang::Margaret O'Brien::Nathan Torunsky,Springer,978-3-319-47333-8::978-3-319-47334-5,2016,174
The Rubato Composer Music Software - Component-Based Implementation of a Functorial Concept Architecture,Gérard Milmeister,Springer,978-3-642-00147-5::978-3-642-00148-2,2009,293
"The Topos of Music I: Theory - Geometric Logic, Classification, Harmony, Counterpoint, Motives, Rhythm, Second Edition",Guerino Mazzola,Springer,978-3-319-64363-2,2017,541
Classification of Musical Objects for Analysis and Composition,Linshujie Zheng::Guerino Mazzola,Springer,978-3-031-30182-7,2023,149
Ligeti's Macroharmonies - A Graphical-Statistical Analysis of Book 3 of the Piano Etudes,Nicolas Namoradze,Springer,978-3-030-85693-9,2022,190
Computing Characterizations of Drugs for Ion Channels and Receptors Using Markov Models,Aslak Tveito::Glenn T. Lines,Springer,978-3-319-30029-0::978-3-319-30030-6,2016,255
Large Eddy Simulation of Turbulent Incompressible Flows - Analytical and Numerical Results for a Class of LES Models.,Volker John,Springer,978-3-540-40643-3::978-3-642-18682-0,2004,267
Hierarchical Matrices - A Means to Efficiently Solve Elliptic Boundary Value Problems.,Mario Bebendorf,Springer,978-3-540-77146-3::978-3-540-77147-0,2008,296
Domain Decomposition Methods for the Numerical Solution of Partial Differential Equations.,Tarek P. Mathew,Springer,978-3-540-77205-7::978-3-540-77209-5,2008,764
Software for Exascale Computing - SPPEXA 2016-2019,,Springer,978-3-030-47955-8::978-3-030-47956-5,2020,
Multiresolution Methods in Scattered Data Modelling.,Armin Iske,Springer,978-3-540-20479-4::978-3-642-18754-4,2004,188
Discretization Methods and Iterative Solvers Based on Domain Decomposition.,Barbara I. Wohlmuth,Springer,978-3-540-41083-6::978-3-642-56767-4,2001,202
Finite Difference Computing with Exponential Decay Models,Hans Petter Langtangen,Springer,978-3-319-29438-4::978-3-319-29439-1,2016,187
Numerical Solution of Elliptic Differential Equations by Reduction to the Interface.,Boris N. Khoromskij::Gabriel Wittum,Springer,978-3-540-20406-0::978-3-642-18777-3,2004,299
Numerical Methods in Computational Electrodynamics - Linear Systems in Practical Applications.,Ursula van Rienen,Springer,978-3-540-67629-4::978-3-642-56802-2,2001,379
"Adaptive Multilevel Solution of Nonlinear Parabolic PDE Systems - Theory, Algorithm, and Applications.",Jens Lang 0001,Springer,978-3-642-08747-9::978-3-662-04484-1,2001,162
Spectral Elements for Transport-Dominated Equations.,Daniele Funaro,Springer,978-3-540-62649-7::978-3-642-59185-3,1997,215
Wavelets in Numerical Simulation - Problem Adapted Construction and Applications.,Karsten Urban,Springer,978-3-540-43055-1::978-3-642-56002-6,2002,186
Uncertainty Quantification in Computational Fluid Dynamics,,Springer,978-3-319-00884-4,2013,
DUNE - The Distributed and Unified Numerics Environment,Oliver Sander,Springer,978-3-030-59701-6,2020,496
Sparse Grid Quadrature in High Dimensions with Applications in Finance and Insurance.,Markus Holtz,Springer,978-3-642-16003-5::978-3-642-16004-2,2011,189
Computational Partial Differential Equations - Numerical Methods and Diffpack Programming.,Hans Petter Langtangen,Springer,978-3-662-01172-0::978-3-662-01170-6,1999,685
A Parallel Multilevel Partition of Unity Method for Elliptic Partial Differential Equations.,Marc Alexander Schweitzer,Springer,978-3-540-00351-9::978-3-642-59325-3,2003,199
Numerical Methods for General and Structured Eigenvalue Problems.,Daniel Kressner,Springer,978-3-540-24546-9::978-3-540-28502-1,2005,264
Adaptive Multiscale Schemes for Conservation Laws.,Siegfried Müller,Springer,978-3-540-44325-4::978-3-642-18164-1,2003,187
"Adaptive Atmospheric Modeling - Key Techniques in Grid Generation, Data Structures, and Numerical Operations with Applications.",Jörn Behrens,Springer,978-3-540-33382-1::978-3-540-33383-8,2006,213
Software for Exascale Computing - SPPEXA 2013-2015,,Springer,978-3-319-40526-1,2016,
BEM-based Finite Element Approaches on Polytopal Meshes,Steffen Weißer,Springer,978-3-030-20960-5,2019,222
Efficient Solvers for Incompressible Flow Problems - An Algorithmic and Computational Approach.,Stefan Turek,Springer,978-3-642-63573-1::978-3-642-58393-3,1999,358
Domain Decomposition Methods in Science and Engineering XX,,Springer,978-3-642-35274-4,2013,
Design of Adaptive Finite Element Software - The Finite Element Toolbox ALBERTA.,Alfred Schmidt::Kunibert G. Siebert,Springer,978-3-540-22842-4::978-3-540-27156-7,2005,322
"MultiBody System SIMulation - Numerical Methods, Algorithms, and Software.",Reinhold von Schwerin,Springer,978-3-540-65662-3::978-3-642-58515-9,1999,341
"Cybercrime in Asia - Policing, Technological Environment, and Cyber-Governance in China and Vietnam",Yiu Chung Laurie Lau,Springer,978-3-031-80212-6,2025,30
Cybersecurity in China - The Next Wave,Greg Austin,Springer,978-3-319-68435-2,2018,130
Deviance in Social Media and Social Cyber Forensics - Uncovering Hidden Relations Using Open Source Information (OSINF),Samer Al-khateeb::Nitin Agarwal 0001,Springer,978-3-030-13689-5,2019,94
Privacy vs. Security,Sophie Stalla-Bourdillon::Joshua Phillips::Mark Dermot Ryan,Springer,978-1-4471-6529-3::978-1-4471-6530-9,2014,115
Cybersecurity in Israel,Lior Tabansky::Isaac Ben Israel,Springer,978-3-319-18985-7::978-3-319-18986-4,2015,73
Cybersecurity in Germany,Martin Schallbruch::Isabel Skierka,Springer,978-3-319-90013-1,2018,66
Digital Robbery - ATM Hacking and Implications,Shun-Yung Kevin Wang::Ming-Li Hsieh,Springer,978-3-030-70705-7,2021,53
Cybersecurity in Morocco,Yassine Maleh::Youness Maleh,Springer,978-3-031-18477-2,2022,92
Electronic Identity,Norberto Nuno Gomes de Andrade::Lisha Chen-Wilson::David Argles::Michele Schiano di Zenise::Gary B. Wills,Springer,978-1-4471-6448-7::978-1-4471-6449-4,2014,90
Cybersecurity in Nigeria - A Case Study of Surveillance and Prevention of Digital Crime,Aamo Iorliam,Springer,978-3-030-15209-3,2019,55
Cybersecurity in France,Philippe Baumard,Springer,978-3-319-54306-2::978-3-319-54308-6,2017,106
Cybersecurity in Switzerland,Myriam Dunn Cavelty,Springer,978-3-319-10619-9::978-3-319-10620-5,2014,75
Reverse Engineering of Object Oriented Code,Paolo Tonella::Alessandra Potrich,Springer,978-0-387-40295-6::978-0-387-23803-6,2005,173
"Geometric Fundamentals of Robotics, Second Edition",J. M. Selig,Springer,978-0-387-20874-9::978-0-387-27274-0,2005,372
Expert Systems and Probabilistic Network Models,Enrique F. Castillo::José Manuel Gutiérrez::Ali S. Hadi,Springer,978-0-387-94858-4::978-1-4612-2270-5,1997,571
Larch: Languages and Tools for Formal Specification,John V. Guttag::James J. Horning::Stephen J. Garland::Kevin D. Jones::A. Modet::Jeannette M. Wing,Springer,978-1-4612-7636-4::978-1-4612-2704-5,1993,156
Super-Recursive Algorithms,Mark Burgin,Springer,978-0-387-95569-8::978-0-387-26806-4,2005,261
Set Theory for Computing - From Decision Procedures to Declarative Programming with Sets,Domenico Cantone::Eugenio G. Omodeo::Alberto Policriti,Springer,978-1-4419-2905-1::978-1-4757-3452-2,2001,409
"Mathematical Foundations of Computer Science - Sets, Relations, and Induction",Peter A. Fejer::Dan A. Simovici,Springer,978-1-4612-7792-7::978-1-4612-3086-1::3540974504,1991,416
A Discipline of Multiprogramming - Programming Theory for Distributed Applications,Jayadev Misra,Springer,978-1-4612-6427-9::978-1-4419-8528-6,2001,420
Adapting Proofs-as-Programs - The Curry-Howard Protocol,Iman Hafiz Poernomo::Martin Wirsing::John Newsome Crossley,Springer,978-0-387-23759-6::978-0-387-28183-4,2005,396
"Specification and Development of Interactive Systems - Focus on Streams, Interfaces, and Refinement",Manfred Broy::Ketil Stølen,Springer,978-1-4612-6518-4::978-1-4613-0091-5,2001,348
Prototyping-Oriented Software Development - Concepts and Tools,Walter R. Bischofberger::Gustav Pomberger,Springer,978-3-642-84762-2::978-3-642-84760-8,1992,197
Verification of Sequential and Concurrent Programs,Krzysztof R. Apt::Ernst-Rüdiger Olderog,Springer,978-1-4757-4378-4::978-1-4757-4376-0,1991,416
"Programming in Modula-2, Second Corrected Edition",Niklaus Wirth,Springer,978-3-642-96759-7::978-3-642-96757-3,1983,165
"Abstraction, Refinement and Proof for Probabilistic Systems",Annabelle McIver::Carroll Morgan,Springer,978-0-387-40115-7::978-0-387-27006-7,2005,310
Design of Digital Computers - An Introduction,Hans W. Gschwind::Edward J. McCluskey,Springer,978-3-642-86192-5::978-3-642-86190-1,1975,548
On a Method of Multiprogramming,W. H. J. Feijen::A. J. M. van Gasteren,Springer,978-1-4419-3179-5::978-1-4757-3126-2,1999,370
Programming in the 1990s - An Introduction to the Calculation of Programs,Edward Cohen,Springer,978-0-387-97382-1::978-1-4613-9706-9,1990,260
"Programming with Specifications - An Introduction to ANNA, A Language for Specifying Ada Programs",David C. Luckham,Springer,978-1-4613-9687-1::978-1-4613-9685-7,1990,385
Software Configuration Management Using Vesta,Allan Heydon::Timothy P. Mann::Roy Levin::Yuan Yu,Springer,978-0-387-00229-3::978-0-387-30852-4,2006,262
High Performance Discovery in Time Series - Techniques and Case Studies,Dennis E. Shasha::Yunyue Zhu,Springer,978-1-4419-1842-0::978-1-4757-4046-2,2004,190
Parameterized Complexity,Rodney G. Downey::Michael R. Fellows,Springer,978-1-4612-6798-0::978-1-4612-0515-9::038794883X,1999,437
Specification and Transformation of Programs - A Formal Approach to Software Development,Helmuth Partsch,Springer,978-3-540-52589-9::978-3-642-61512-2,1990,455
A Programming Approach to Computability,Assaf J. Kfoury::Robert N. Moll::Michael A. Arbib,Springer,978-1-4612-5751-6::978-1-4612-5749-3,1982,253
Evolutionary Synthesis of Pattern Recognition Systems,Bir Bhanu::Yingqiang Lin::Krzysztof Krawiec,Springer,978-0-387-21295-1::978-0-387-24452-5,2005,281
First-Order Logic and Automated Theorem Proving,Melvin Fitting,Springer,978-1-4684-0359-6::978-1-4684-0357-2,1990,232
Parsing Techniques - A Practical Guide,Dick Grune::Ceriel J. H. Jacobs,Springer,978-0-387-20248-8::978-0-387-68954-8,2008,643
Geometric Fundamentals of Robotics,J. M. Selig,Springer,978-1-4757-2486-8::978-1-4757-2484-4,1996,269
Compiler Construction,William M. Waite::Gerhard Goos,Springer,978-1-4612-9731-4::978-1-4612-5192-7,1984,447
Numerical Geometry of Non-Rigid Shapes,Alexander M. Bronstein::Michael M. Bronstein::Ron Kimmel,Springer,978-0-387-73300-5::978-0-387-73301-2,2009,277
The Rise of Modern Logic: From Leibniz to Frege,,Elsevier,978-0-444-51611-4,2004,
Computational Logic,,Elsevier,978-0-444-51624-4,2014,
The Many Valued and Nonmonotonic Turn in Logic,,Elsevier,978-0-444-51623-7,2007,
Logic and the Modalities in the Twentieth Century,,Elsevier,978-0-444-51622-0,2006,
Logic: A History of its Central Concepts,,Elsevier,978-0-444-52937-4,2012,
Mediaeval and Renaissance Logic,,Elsevier,978-0-444-51625-1,2008,
"Greek, Indian and Arabic Logic",,Elsevier,978-0-444-50466-1,2004,
Sets and Extensions in the Twentieth Century,,Elsevier,978-0-444-51621-3,2012,
British Logic in the Nineteenth Century,,Elsevier,978-0-444-51610-7,2008,
Inductive Logic,,Elsevier,978-0-444-52936-7,2011,
Logic from Russell to Church,,Elsevier,978-0-444-51620-6,2009,
Backdoor Attacks against Learning-Based Algorithms,Shaofeng Li::Haojin Zhu::Wen Wu 0003::Xuemin (Sherman) Shen,Springer,978-3-031-57388-0,2024,153
Simultaneously Transmitting and Reflecting Surfaces for Wireless Communications,Yuanwei Liu::Xidong Mu::Jiaqi Xu::Junshan Zhang,Springer,978-3-031-76847-7,2025,193
Machine-Type Communication for Maritime Internet-of-Things - From Concept to Practice,Michael Mao Wang::Jingjing Zhang 0006,Springer,978-3-030-77907-8,2021,288
Privacy-Enhancing Aggregation Techniques for Smart Grid Communications,Rongxing Lu,Springer,978-3-319-32897-3::978-3-319-32899-7,2016,177
Moving Target Defense for Distributed Systems,Sachin Shetty::Xuebiao Yuchi::Min Song 0002,Springer,978-3-319-31031-2::978-3-319-31032-9,2016,74
Contract Theory for Wireless Networks,Yanru Zhang::Zhu Han 0001,Springer,978-3-319-53287-5::978-3-319-53288-2,2017,121
Blockchain-Based Data Security in Heterogeneous Communications Networks,Dongxiao Liu::Xuemin (Sherman) Shen,Springer,978-3-031-52476-9,2024,189
"Secrecy, Covertness and Authentication in Wireless Communications - Physical Layer Security Approach",Yulong Shen::Yuanyu Zhang::Xiaohong Jiang,Springer,978-3-031-38464-6,2023,360
Cellular Vehicle-to-Everything (C-V2X),Shanzhi Chen::Jinling Hu::Li Zhao::Rui Zhao::Jiayi Fang::Yan Shi 0002::Hui Xu,Springer,978-981-19-5129-9,2023,384
Federated Learning for Wireless Networks,Choong Seon Hong::Latif U. Khan::Mingzhe Chen::Dawei Chen::Walid Saad::Zhu Han 0001,Springer,978-981-16-4962-2,2021,237
MAC Protocol Design in Full-Duplex Enabled Wireless Networks,Liqun Fu 0001::Shengbo Liu::Wen Wu 0003::Ning Zhang 0007::Weihua Zhuang,Springer,978-3-031-57295-1,2024,147
Learning-Based Reconfigurable Multiple Access Schemes for Virtualized MTC Networks,Tho Le-Ngoc::Atoosa Dalili Shoaei,Springer,978-3-030-60381-6,2020,191
"Searchable Encryption - From Concepts to Systems, 4",Kui Ren::Cong Wang,Springer,978-3-031-21376-2,2023,152
Wireless Localization Techniques,Xiaohua Tian::Xinyu Tong::Xinbing Wang,Springer,978-3-031-21177-5,2023,351
Flying Ad Hoc Networks - Cooperative Networking and Resource Allocation,Jingjing Wang 0001::Chunxiao Jiang,Springer,978-981-16-8849-2,2022,287
Decentralized Privacy Preservation in Smart Cities,Cheng Huang 0001::Xuemin (Sherman) Shen,Springer,978-3-031-54074-5,2024,166
Reinforcement Learning for Maritime Communications,Liang Xiao 0003::Helin Yang::Weihua Zhuang::Minghui Min,Springer,978-3-031-32137-5,2023,146
"Integrating Edge Intelligence and Blockchain - What, Why, and How",Xiaofei Wang 0001::Chao Qiu::Xiaoxu Ren::Zehui Xiong::Victor C. M. Leung::Dusit Niyato,Springer,978-3-031-10185-4,2022,108
High-Speed Large Capacity Optical Fiber Communications,Feng Tian::Xiangjun Xin,Springer,978-3-031-94210-5,2025,185
Federated Learning Over Wireless Edge Networks,Wei Yang Bryan Lim::Jer Shyuan Ng::Zehui Xiong::Dusit Niyato::Chunyan Miao,Springer,978-3-031-07837-8,2022,150
Security in Smart Home Networks,Yan Meng 0001::Haojin Zhu::Xuemin (Sherman) Shen,Springer,978-3-031-24184-0,2023,166
Intelligent Reflecting Surface-Aided Physical-Layer Security,Feng Shu 0002::Jiangzhou Wang,Springer,978-3-031-41811-2,2023,234
Mixed-Criticality Industrial Wireless Networks,Xi Jin 0001::Changqing Xia::Chi Xu 0001::Dong Li 0027,Springer,978-981-19-8921-6,2023,131
Intelligent Resource Management in Vehicular Networks,Haixia Peng::Qiang Ye 0002::Xuemin Sherman Shen,Springer,978-3-030-96506-8,2022,149
Dynamic Resource Management in Service-Oriented Core Networks,Weihua Zhuang::Kaige Qu,Springer,978-3-030-87135-2,2021,159
mmWave Massive MIMO Vehicular Communications,Xiang Cheng 0001::Shijian Gao::Liuqing Yang 0001,Springer,978-3-030-97507-4,2023,140
Wireless Rechargeable Sensor Networks for Internet of Things - Theories and Technical Paradigms,Chi Lin::Yu Sun::Wei Yang,Springer,978-981-97-9542-0,2025,303
Energy Efficient Computation Offloading in Mobile Edge Computing,Ying Chen 0010::Ning Zhang 0007::Yuan Wu 0001::Sherman X. Shen,Springer,978-3-031-16821-5,2022,156
Index Modulation for OFDM Communications Systems,Miaowen Wen::Qiang Li 0020::Xiang Cheng 0001,Springer,978-981-15-9406-9,2021,172
Network Slicing for Future Wireless Communication - Theory and Application,Wanqing Guan::Haijun Zhang,Springer,978-3-031-58228-8,2024,113
Cloud Networking for Big Data,Deze Zeng::Lin Gu 0002::Song Guo 0001,Springer,978-3-319-24718-2::978-3-319-24720-5,2015,100
Physical-Layer Security for Cooperative Relay Networks,Yulong Zou::Jia Zhu 0001,Springer,978-3-319-31173-9::978-3-319-31174-6,2016,104
Mobile Electric Vehicles - Online Charging and Discharging,Miao Wang 0003::Ran Zhang 0001::Xuemin (Sherman) Shen,Springer,978-3-319-25128-8::978-3-319-25130-1,2016,73
Data Security in Cloud Storage,Yuan Zhang 0006::Chunxiang Xu::Xuemin Sherman Shen,Springer,978-981-15-4373-9,2020,171
Connectivity and Edge Computing in IoT: Customized Designs and AI-based Solutions,Jie Gao 0002::Mushu Li::Weihua Zhuang,Springer,978-3-030-88742-1,2021,166
Privacy-Preserving Techniques with e-Healthcare Applications,Dan Zhu 0001::Dengguo Feng::Xuemin (Sherman) Shen,Springer,978-3-031-76921-4,2024,172
Intelligent Reflecting Surface For B5G/6G Wireless Networks - Information and Power Transmission,Qingqing Wu 0001::Xinrong Guan::Meng Hua,Springer,978-3-031-44171-4,2023,177
"5G System Design - An End to End Perspective, Second Edition",Wan Lei::Anthony C. K. Soong::Jianghua Liu::Wu Yong::Brian K. Classon::Weimin Xiao::David Mazzarese::Zhao Yang::Tony Saboorian,Springer,978-3-030-73702-3,2021,636
Mobile Technologies for Smart Healthcare System Design,Xiaonan Guo::Yan Wang 0003::Jerry Cheng::Yingying (Jennifer) Chen,Springer,978-3-031-57344-6,2024,213
Economics of Database-Assisted Spectrum Sharing,Yuan Luo 0005::Lin Gao 0001::Jianwei Huang 0001,Springer,978-3-319-43230-4::978-3-319-43231-1,2016,83
Green Internet of Things (IoT): Energy Efficiency Perspective,Zhenyu Zhou 0001::Zheng Chang 0001::Haijun Liao,Springer,978-3-030-64053-8,2021,178
Intelligent Internet of Things Networks,Haipeng Yao::Mohsen Guizani,Springer,978-3-031-26986-8,2023,397
Cooperation and Integration in 6G Heterogeneous Networks - Resource Allocation and Networking,Jun Du 0001::Chunxiao Jiang,Springer,978-981-19-7647-6,2023,458
Millimeter-Wave Networks - Beamforming Design and Performance Analysis,Peng Yang 0004::Wen Wu 0003::Ning Zhang 0007::Xuemin Shen,Springer,978-3-030-88629-5,2021,160
Reconfigurable Intelligent Surface-Empowered 6G,Hongliang Zhang 0001::Boya Di::Lingyang Song::Zhu Han 0001,Springer,978-3-030-73498-5,2021,251
Mean Field Game and its Applications in Wireless Networks,Reginald A. Banez::Lixin Li::Chungang Yang::Zhu Han 0001,Springer,978-3-030-86904-5,2021,178
Performance Controllable Industrial Wireless Networks,Haibin Yu::Peng Zeng 0001::Meng Zheng 0001::Chi Xu 0001::Xi Jin 0001::Wei Liang 0001,Springer,978-981-99-0388-7,2023,169
Machine Learning Algorithms - Adversarial Robustness in Signal Processing,Fuwei Li::Lifeng Lai::Shuguang Cui,Springer,978-3-031-16374-6,2022,85
Security and Privacy for Next-Generation Wireless Networks,Sheng Zhong 0002::Hong Zhong 0001::Xinyi Huang::Panlong Yang::Jin Shi::Lei Xie 0004::Kun Wang 0005,Springer,978-3-030-01149-9,2019,180
Intelligent Resources Management for Vehicular Social Networks - Societal Perspectives and Current Issues in the Digital Era,Haixia Zhang::Dongyang Li::Tong Xue,Springer,978-3-031-80168-6,2025,132
Localization in Underwater Sensor Networks,Jing Yan 0001::Haiyan Zhao::Yuan Meng::Xinping Guan,Springer,978-981-16-4830-4,2021,220
"Fog Radio Access Networks (F-RAN) - Architectures, Technologies, and Applications",Mugen Peng::Zhongyuan Zhao 0001::Yaohua Sun,Springer,978-3-030-50734-3,2020,218
Sequential Learning and Decision-Making in Wireless Resource Management,Rong Zheng 0001::Cunqing Hua,Springer,978-3-319-50501-5::978-3-319-50502-2,2016,113
Connected Vehicles Traffic Prediction - Emerging GNN Methods,Quan Shi::Yinxin Bao::Qinqin Shen::Zhenquan Shi::Ruifeng Gao,Springer,978-3-031-84547-5,2025,178
Propagation Characterization and Channel Modeling for UAV Communications,Lu Bai 0004::Ziwei Huang::Xiang Cheng 0001,Springer,978-3-031-57502-0,2024,226
Cyberspace Mimic Defense - Generalized Robust Control and Endogenous Security,Jiangxing Wu,Springer,978-3-030-29843-2,2020,733
Cloud Mobile Networks - From RAN to EPC,Mojtaba Vaezi::Ying Zhang,Springer,978-3-319-54495-3::978-3-319-54496-0,2017,107
Privacy-Preserving in Edge Computing,Longxiang Gao::Tom H. Luan::Bruce Gu::Youyang Qu::Yong Xiang 0001,Springer,978-981-16-2198-7,2021,113
RFID Technologies for Internet of Things,Min Chen 0007::Shigang Chen,Springer,978-3-319-47354-3::978-3-319-47355-0,2016,95
Vehicular Networking for Road Safety,Feng Lyu 0001::Minglu Li 0001::Xuemin Shen,Springer,978-3-030-51228-6,2020,162
Intelligent Resource Management for Network Slicing in 5G and Beyond,Qiang Ye 0002::Weihua Zhuang,Springer,978-3-030-88665-3,2021,178
Communication Efficient Federated Learning for Wireless Networks,Mingzhe Chen::Shuguang Cui,Springer,978-3-031-51265-0,2024,170
"Wireless Sensing - Principles, Techniques and Applications",Jiannong Cao 0001::Yanni Yang,Springer,978-3-031-08344-0,2022,164
Next Generation Marine Wireless Communication Networks,Bin Lin 0001::Jianli Duan::Mengqi Han::Lin X. Cai,Springer,978-3-030-97306-3,2022,143
Security in Network Coding,Peng Zhang 0011::Chuang Lin 0002,Springer,978-3-319-31082-4::978-3-319-31083-1,2016,98
"The Next Generation Vehicular Networks, Modeling, Algorithm and Applications",Zhou Su::Yilong Hui::Tom H. Luan::Qiaorong Liu::Rui Xing 0001,Springer,978-3-030-56826-9,2021,157
"Modeling, Analysis, and Optimization for Space-Ground Integrated Networks",Min Sheng::Di Zhou::Yan Zhu 0017::Jiandong Li 0001,Springer,978-3-031-77277-1,2025,141
Detection of False Data Injection Attacks in Smart Grid Cyber-Physical Systems,Beibei Li 0002::Rongxing Lu::Gaoxi Xiao,Springer,978-3-030-58671-3,2020,151
Advanced Wireless Technologies for Industrial Network Systems,Ling Lyu::Xinping Guan::Nan Cheng::Xuemin Sherman Shen,Springer,978-3-031-26962-2,2023,197
Mobile Big Data,Xiang Cheng 0001::Luoyang Fang::Liuqing Yang 0001::Shuguang Cui,Springer,978-3-319-96115-6,2018,125
Wireless Sensor Networks,Senchun Chai::Zhaoyang Wang::Baihai Zhang::Lingguo Cui::Runqi Chai,Springer,978-981-15-5756-9,2020,282
Digital Color Management - Principles and Strategies for the Standardized Print Production,Jan-Peter Homann,Springer,978-3-540-67119-0::978-3-540-69377-2,2009,212
"JDF - Process Integration, Technology, Product Description",Wolfgang Kühn::Martin Grell,Springer,978-3-540-23560-6::978-3-540-27528-2,2005,101
Digital Design of Nature - Computer Generated Plants and Organics,Oliver Deussen::Bernd Lintermann,Springer,978-3-540-40591-7::978-3-540-27104-8,2005,295
Multimedia Systems.,Ralf Steinmetz::Klara Nahrstedt,Springer,978-3-642-07412-7::978-3-662-08878-4,2004,466
Internetworking - Technological Foundations and Applications,Christoph Meinel::Harald Sack,Springer,978-3-642-35391-8::978-3-642-35392-5,2013,903
